content,score,label,txt
Bintang 5 jika sevima menyediakan mode gelap di aplikasi ini,4,Positif,bintang  jika sevima menyediakan mode gelap di aplikasi ini
Tidak bisa masuk mulu berak,1,Negatif,tidak bisa masuk mulu berak
"Izin melapor ketua aplikasi ngebug jaringan pas lagi ngumpul tugas, kuis dan ujian aturan terkirim malah tidak Dan saat masuk aplikasi malah disconnect",1,Negatif,izin melapor ketua aplikasi ngebug jaringan pas lagi ngumpul tugas kuis dan ujian aturan terkirim malah tidak dan saat masuk aplikasi malah disconnect
"Ko saya ganti HP jadi G ada notif tugas atau kuis dari EdLink yang muncul di panel notifikasi, padahal untuk perizinan aplikasi EdLink sendiri udh di izinkan semua tetep aja gk muncul. Itu kenapa ya?",2,Negatif,ko saya ganti hp jadi g ada notif tugas atau kuis dari edlink yang muncul di panel notifikasi padahal untuk perizinan aplikasi edlink sendiri udh di izinkan semua tetep aja gk muncul itu kenapa ya
"membantu banget buat liat nilai nilai semester, jadi ga ribet harus buka web kampus buat liat nilai, terimakasih edlink🫶",5,Positif,membantu banget buat liat nilai nilai semester jadi ga ribet harus buka web kampus buat liat nilai terimakasih edlink
"Aplikasi tidak bagus, saya jadi tidak bisa upload tugas dan ujian karena aplikasi ini. Tulisan yang muncul ketika ingin upload belum memiliki akses. Gara-gara aplikasi ini saya tidak punya nilai. Tolong edlink tanggung jawab ya",1,Negatif,aplikasi tidak bagus saya jadi tidak bisa upload tugas dan ujian karena aplikasi ini tulisan yang muncul ketika ingin upload belum memiliki akses garagara aplikasi ini saya tidak punya nilai tolong edlink tanggung jawab ya
"Pengumpulan UAS maupun tugas saya tidak bisa dibaca oleh dosen, padahal sudah mengumpulkan tepat waktu. kenapa ya?",4,Positif,pengumpulan uas maupun tugas saya tidak bisa dibaca oleh dosen padahal sudah mengumpulkan tepat waktu kenapa ya
"Punten kie mah, masa iya ngimpulaken tugas telat 2 detik tok ora bisaa, tolong dirubah yaa, wis tak ampura ka",1,Negatif,punten kie mah masa iya ngimpulaken tugas telat  detik tok ora bisaa tolong dirubah yaa wis tak ampura ka
"ka tolong di bantu, saya tidak bisa mendaftarkan wajah pada pengaturan foto wajah sehingga tidak bisa absen",2,Negatif,ka tolong di bantu saya tidak bisa mendaftarkan wajah pada pengaturan foto wajah sehingga tidak bisa absen
"Durasi waktu pengerjaan tugas dan jam tidak sesuai, sisa 1 menit sudah tidak bisa kirim jawaban/tugas, tolong perbaiki lah..",1,Negatif,durasi waktu pengerjaan tugas dan jam tidak sesuai sisa  menit sudah tidak bisa kirim jawabantugas tolong perbaiki lah
"bagus, terkadang ada bug absen aja",4,Positif,bagus terkadang ada bug absen aja
"banyak terjadi kesalahan pada server, tolong dibenerin lagi lah bug yang seperti ini",1,Negatif,banyak terjadi kesalahan pada server tolong dibenerin lagi lah bug yang seperti ini
Kok gak bisa nge unduh file sih,1,Negatif,kok gak bisa nge unduh file sih
Bagusss dan mudah,5,Positif,bagusss dan mudah
"Mohon maaf kenapa ya setiap saya buka apk edlink sinyal di HP saya seketika langsung menghilang padahal buka apk lain seperti youtube atau IG baik baik saja sinyalnya dan stabil, edlink juga terlalu loading lama untuk buka absensi barcode terus terkadang untuk buka file di edlink tidak bisa padahal itu hanya file PDF.",2,Negatif,mohon maaf kenapa ya setiap saya buka apk edlink sinyal di hp saya seketika langsung menghilang padahal buka apk lain seperti youtube atau ig baik baik saja sinyalnya dan stabil edlink juga terlalu loading lama untuk buka absensi barcode terus terkadang untuk buka file di edlink tidak bisa padahal itu hanya file pdf
