content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
Bintang 5 jika sevima menyediakan mode gelap di aplikasi ini,4,Positif,bintang  jika sevima menyediakan mode gelap di aplikasi ini,bintang sevima menyediakan mode gelap aplikasi,"['bintang', 'sevima', 'menyediakan', 'mode', 'gelap', 'aplikasi']",bintang sevima sedia mode gelap aplikasi
Tidak bisa masuk mulu berak,1,Negatif,tidak bisa masuk mulu berak,masuk mulu berak,"['masuk', 'mulu', 'berak']",masuk mulu berak
"Izin melapor ketua aplikasi ngebug jaringan pas lagi ngumpul tugas, kuis dan ujian aturan terkirim malah tidak Dan saat masuk aplikasi malah disconnect",1,Negatif,izin melapor ketua aplikasi ngebug jaringan pas lagi ngumpul tugas kuis dan ujian aturan terkirim malah tidak dan saat masuk aplikasi malah disconnect,izin melapor ketua aplikasi ngebug jaringan pas ngumpul tugas kuis ujian aturan terkirim masuk aplikasi disconnect,"['izin', 'melapor', 'ketua', 'aplikasi', 'ngebug', 'jaringan', 'pas', 'ngumpul', 'tugas', 'kuis', 'ujian', 'aturan', 'terkirim', 'masuk', 'aplikasi', 'disconnect']",izin lapor ketua aplikasi ngebug jaring pas ngumpul tugas kuis uji atur kirim masuk aplikasi disconnect
"Ko saya ganti HP jadi G ada notif tugas atau kuis dari EdLink yang muncul di panel notifikasi, padahal untuk perizinan aplikasi EdLink sendiri udh di izinkan semua tetep aja gk muncul. Itu kenapa ya?",2,Negatif,ko saya ganti hp jadi g ada notif tugas atau kuis dari edlink yang muncul di panel notifikasi padahal untuk perizinan aplikasi edlink sendiri udh di izinkan semua tetep aja gk muncul itu kenapa ya,ko ganti hp g notif tugas kuis edlink muncul panel notifikasi perizinan aplikasi edlink udh izinkan tetep aja gk muncul ya,"['ko', 'ganti', 'hp', 'g', 'notif', 'tugas', 'kuis', 'edlink', 'muncul', 'panel', 'notifikasi', 'perizinan', 'aplikasi', 'edlink', 'udh', 'izinkan', 'tetep', 'aja', 'gk', 'muncul', 'ya']",ko ganti hp g notif tugas kuis edlink muncul panel notifikasi izin aplikasi edlink udh izin tetep aja gk muncul ya
"membantu banget buat liat nilai nilai semester, jadi ga ribet harus buka web kampus buat liat nilai, terimakasih edlink🫶",5,Positif,membantu banget buat liat nilai nilai semester jadi ga ribet harus buka web kampus buat liat nilai terimakasih edlink,membantu banget liat nilai nilai semester ga ribet buka web kampus liat nilai terimakasih edlink,"['membantu', 'banget', 'liat', 'nilai', 'nilai', 'semester', 'ga', 'ribet', 'buka', 'web', 'kampus', 'liat', 'nilai', 'terimakasih', 'edlink']",bantu banget liat nilai nilai semester ga ribet buka web kampus liat nilai terimakasih edlink
"Aplikasi tidak bagus, saya jadi tidak bisa upload tugas dan ujian karena aplikasi ini. Tulisan yang muncul ketika ingin upload belum memiliki akses. Gara-gara aplikasi ini saya tidak punya nilai. Tolong edlink tanggung jawab ya",1,Negatif,aplikasi tidak bagus saya jadi tidak bisa upload tugas dan ujian karena aplikasi ini tulisan yang muncul ketika ingin upload belum memiliki akses garagara aplikasi ini saya tidak punya nilai tolong edlink tanggung jawab ya,aplikasi bagus upload tugas ujian aplikasi tulisan muncul upload memiliki akses garagara aplikasi nilai tolong edlink tanggung ya,"['aplikasi', 'bagus', 'upload', 'tugas', 'ujian', 'aplikasi', 'tulisan', 'muncul', 'upload', 'memiliki', 'akses', 'garagara', 'aplikasi', 'nilai', 'tolong', 'edlink', 'tanggung', 'ya']",aplikasi bagus upload tugas uji aplikasi tulis muncul upload milik akses garagara aplikasi nilai tolong edlink tanggung ya
"Pengumpulan UAS maupun tugas saya tidak bisa dibaca oleh dosen, padahal sudah mengumpulkan tepat waktu. kenapa ya?",4,Positif,pengumpulan uas maupun tugas saya tidak bisa dibaca oleh dosen padahal sudah mengumpulkan tepat waktu kenapa ya,pengumpulan uas tugas dibaca dosen mengumpulkan ya,"['pengumpulan', 'uas', 'tugas', 'dibaca', 'dosen', 'mengumpulkan', 'ya']",kumpul uas tugas baca dosen kumpul ya
"Punten kie mah, masa iya ngimpulaken tugas telat 2 detik tok ora bisaa, tolong dirubah yaa, wis tak ampura ka",1,Negatif,punten kie mah masa iya ngimpulaken tugas telat  detik tok ora bisaa tolong dirubah yaa wis tak ampura ka,punten kie mah iya ngimpulaken tugas telat detik tok ora bisaa tolong dirubah yaa wis ampura ka,"['punten', 'kie', 'mah', 'iya', 'ngimpulaken', 'tugas', 'telat', 'detik', 'tok', 'ora', 'bisaa', 'tolong', 'dirubah', 'yaa', 'wis', 'ampura', 'ka']",punten kie mah iya ngimpulaken tugas telat detik tok ora bisaa tolong rubah yaa wis ampura ka
"ka tolong di bantu, saya tidak bisa mendaftarkan wajah pada pengaturan foto wajah sehingga tidak bisa absen",2,Negatif,ka tolong di bantu saya tidak bisa mendaftarkan wajah pada pengaturan foto wajah sehingga tidak bisa absen,ka tolong bantu mendaftarkan wajah pengaturan foto wajah absen,"['ka', 'tolong', 'bantu', 'mendaftarkan', 'wajah', 'pengaturan', 'foto', 'wajah', 'absen']",ka tolong bantu daftar wajah atur foto wajah absen
"Durasi waktu pengerjaan tugas dan jam tidak sesuai, sisa 1 menit sudah tidak bisa kirim jawaban/tugas, tolong perbaiki lah..",1,Negatif,durasi waktu pengerjaan tugas dan jam tidak sesuai sisa  menit sudah tidak bisa kirim jawabantugas tolong perbaiki lah,durasi pengerjaan tugas jam sesuai sisa menit kirim jawabantugas tolong perbaiki,"['durasi', 'pengerjaan', 'tugas', 'jam', 'sesuai', 'sisa', 'menit', 'kirim', 'jawabantugas', 'tolong', 'perbaiki']",durasi kerja tugas jam sesuai sisa menit kirim jawabantugas tolong baik
