content,score,Label
Bintang 5 jika sevima menyediakan mode gelap di aplikasi ini,4,Positif
Tidak bisa masuk mulu berak,1,Negatif
"Mohon untuk update bagian upload file, tambahkan bar % progres upload file.",3,
"perbanyak improvisasi,ini app masih banyak kurangnya",3,
"Izin melapor ketua aplikasi ngebug jaringan pas lagi ngumpul tugas, kuis dan ujian aturan terkirim malah tidak Dan saat masuk aplikasi malah disconnect",1,Negatif
"Ko saya ganti HP jadi G ada notif tugas atau kuis dari EdLink yang muncul di panel notifikasi, padahal untuk perizinan aplikasi EdLink sendiri udh di izinkan semua tetep aja gk muncul. Itu kenapa ya?",2,Negatif
Pada akun edlink saya gak ada fitur keuangan jadi bingung padahal udah saya coba berapa kali download ulang plis ini gimana caranya sih udah lama Lo ini,3,
"membantu banget buat liat nilai nilai semester, jadi ga ribet harus buka web kampus buat liat nilai, terimakasih edlink🫶",5,Positif
"Aplikasi tidak bagus, saya jadi tidak bisa upload tugas dan ujian karena aplikasi ini. Tulisan yang muncul ketika ingin upload belum memiliki akses. Gara-gara aplikasi ini saya tidak punya nilai. Tolong edlink tanggung jawab ya",1,Negatif
Halo kak ini kenapa ya edlink saya ga muncul tugas dari sir nya sedangkan teman teman saya yang lain ada aneh juga ga bisa di update tolong kak kerja samanya supaya aplikasinya pas ada tugasnya ga error terima kasih🙏🏻,3,
"Ada bug kah ?? Kok ga bisa login google ataupun siakad ?? Cari baru nama universitas aja, ga ada. Biasanya nulis universitas, langsung muncul banyak pilihan",3,
"Pengumpulan UAS maupun tugas saya tidak bisa dibaca oleh dosen, padahal sudah mengumpulkan tepat waktu. kenapa ya?",4,Positif
"Punten kie mah, masa iya ngimpulaken tugas telat 2 detik tok ora bisaa, tolong dirubah yaa, wis tak ampura ka",1,Negatif
"ka tolong di bantu, saya tidak bisa mendaftarkan wajah pada pengaturan foto wajah sehingga tidak bisa absen",2,Negatif
"Durasi waktu pengerjaan tugas dan jam tidak sesuai, sisa 1 menit sudah tidak bisa kirim jawaban/tugas, tolong perbaiki lah..",1,Negatif
"bagus, terkadang ada bug absen aja",4,Positif
"banyak terjadi kesalahan pada server, tolong dibenerin lagi lah bug yang seperti ini",1,Negatif
Kok gak bisa nge unduh file sih,1,Negatif
Bagusss dan mudah,5,Positif
"Mohon maaf kenapa ya setiap saya buka apk edlink sinyal di HP saya seketika langsung menghilang padahal buka apk lain seperti youtube atau IG baik baik saja sinyalnya dan stabil, edlink juga terlalu loading lama untuk buka absensi barcode terus terkadang untuk buka file di edlink tidak bisa padahal itu hanya file PDF.",2,Negatif
"Buka materi perkuliahan dan download materi filenya corrupt/tidak terbaca yang menjadikan absensi kehadiran Alfa, padahal bukan human error dan yang error dari aplikasi edlink",1,Negatif
makasih sudah di perbaiki dari saat setelah waktu zoom pertama habis dan ada bug saat masuk zoom sesi kedua selalu ngestak di persiapan zoom sekarang udh di fix,5,Positif
"Aplikasi ini sangat bagus untuk perkuliahan, tapi ada kukurangan dalam pengaplikasian kamera waktu presensi, aplikasi tidak bisa mengezoom layar dosen saat presensi.",4,Positif
saya make edlink bagus sih namun sering kali kalau mau absensi suka keluar sendiri dan mencari data mahasiswa itu loading terus,4,Positif
Sangat2 membantu sekali ... Semoga semakin baik 😊,5,Positif
"Baru mau coba,hehehe.Sebenernya terpaksa",4,Positif
Sangat membantu dan memudahkan dalam proses beljar,5,Positif
"tiap kali buka selalu terjadi kesalahan pada server,jadi banyak tugas"" yg ga bisa dikumpul",1,Negatif
Teruntuk developer Apakah aplikasi nay sedang error? Soalnya saya ingin mengisi KRS tapi justru Status mahasiswa saya tidak aktif. Saya kira edlink saya bermasalah. Ternyata di akun teman saya juga seperti itu. Ini gimana ya? Soalnya saya belum mengisi KRS. Tolong cepat diperbaiki,1,Negatif
Fitur chat antar mahasiswa sangat lambat,5,Positif
gakk bisa ubah photo!!!,1,Negatif
"Bagus di saya sih. Cuman waktu ngumpul ujian di sini, temen saya loading terus di beranda, layar blank white screen lama banget sampe gak kekirim.",5,Positif
Kameranya tidak bisa di zoom😡,3,
"edlink makin sini makin jelek, apalagi kalo dibuka di pc gabisa ngelampirin file buat submit tugas",2,Negatif
Mohon tambahkan menu cek jadwal UTS dan UAS karena belum ada. Padahal sebentar lagi akan dilaksanakan di Minggu awal bulan Oktober 2024.,3,
"Update baru ga bisa absen scan wak, yang bener aja",1,Negatif
"Min tolong di perbaiki lagi di bagian quiz nya, saya ngerjain soal dengan benar tiba tiba jawaban nya ganti sendiri bikin nilai jadi anjlok bikin males aja hadeh",1,Negatif
Saat mengerjakan quiz ngebug dan jawaban benar menjadi jawaban lain,1,Negatif
Sangat membantu,5,Positif
"Kenapa setelah hapus foto profil terus mau ganti yang baru tidak bisa ya, tidak muncul foto profilnya",5,Positif
"Terlalu sering kesalahan server tolong fix, saya sampe gk tau samsek ada tugas dan notifnya gk ada, udh kelewat deadline lagi",1,Negatif
"sekarang presensi QR susah sekali karena pakai pengnalan wajah, dan wajah sering tidak tertedeteksi",2,Negatif
Presensi scan wajahnya di perbaikilah bikin orang ga di absen aja,1,Negatif
"Min kok matkul saya bahasa inggris ilang di ruang kelas,ga bisa ngumpulin tugas jadinya aku,ga dapet notif juga matkul itu",3,
Sinyal lancar tapi tetep muter terus apk GK guna,1,Negatif
Kak kenapa sekarang edlink aku tulisannya terjadi kesalahan pada server terus,3,
Sangat membantu pelajaran,5,Positif
"Scan absennya gak bisa di zoom, jadi kepaksa harus maju kedepan kelas kalo engga di potret pake hp temen buat di zoom manual pake kamera. File dari dosen sering gak bisa kebuka/download harus log out dulu ribet. Scan wajah gagal mulu apk anomali",1,Negatif
"Halo, kak. Waktu sedang mengerjakan quiz kamera saya yang di layar tiba-tiba hilang, itu terjadi setelah saya menerima pop up notifikasi WhatsApp. Apakah itu nantinya akan diindikasikan sebagai tindak kecurangan kak? Padahal saya tidak membuka aplikasi lain dan tetap stay di edlink. Mohon dijawab kak🙏🏻",4,Positif
"Pada saat mengupload tugas tidak ada notifikasi/indikasi persentasenya, jadi tidak jelas apakah tugas itu sudah masuk atau belum. (Pengalaman buruk: tugas sudah di klik kirim tetapi tidak masuk, alhasil tugas tidak diterima. Sudah selesai mengerjakan tapi tidak diterima hanya gara gara belum selesai upload)",1,Negatif
"Sistem quiz error, soal ada 24,udah isi sumua, malah benar 20 salah 2, 2 lagi kemana? ,,apaan nih edlink?",1,Negatif
"Bikin auto save lah kak, bjir lah gw bikin jawaban di text editor panjang panjang kepencet home, balik lagi jawaban gw ilang semua... Jadi ngulang lagi deh Masa kalah sama aplikasi lain yang bisa auto save",5,Positif
BENERIN SERVER NYA OIIII JANGAN UPDATE FITUR MULU.. NILAI UTS KU JADI CUMAN DAPAT RENDAH GARA GARA GAGAL FOKUS!!!!,1,Negatif
"Halo, kenapa edlink tidak bisa ganti photo profile?",3,
"Sekarang edlink kalo isi quiz mau record atau ngga, kok lemot yah berat padahal kerjakan di laptop",1,Negatif
"Tolong adakan fitur zoom pada fitur scan code kehadiran, dan auto fokus",2,Negatif
Ga berfungsi baik,1,Negatif
Hallo.aplikasi Edlink sudah ada di perangkat lain tidak Bisa download di hp yang saya pakai sekarang.,5,Positif
kode tidak terkirim ke email,1,Negatif
"Server selalu sibuk, saat mengerjakan kuis, saya ingin mengubah jawaban dengan benar tetapi rupanya tidak ter load sama sistem nya yang membuat nilai saya nyaris di bawah kkm. mohon diperbaiki saya nyaris ngulang matkul lagi karna sistem nya yg bobrok ini",1,Negatif
mau masuk pakai email gabisa kenapa wehhh,2,Negatif
"mengapa ketika cek data akademik, tulisan ""mohon tunggu"" nya sangat lama dan tidak muncul juga yg dicari. tidak seperti biasanya. mohon bantuannya",3,
"Banyak sekali gangguannya dan juga respon admin yang menerima keluhan lambat, sehingga saya tidak dapat mengerjakan kuis salah satu mata kuliah, saya sudah mencoba berbagai cara dengan menghubungi lewat lin dan semacamnya tapi tetap responnya lambat.",1,Negatif
Cara ganti profilnya gimana?.cuman muncul gambar putih dan tulisan( note untuk menyesuaikan gambar ),5,Positif
"setiap mau oresensi barcode tidak valid , setiap.perkuliahan begitu twrus dan waktu hanya 10 detik ribet memding durasi waktunya min 15 menit",1,Negatif
"Kode verifikasinya sangat lamban masuk ke email saya, tunggu habis waktu dulu baru keluar kode verifikasinya. dan sampai detik ini saya belum bisa login ke edlink",1,Negatif
"Kok makin lelet min, setiap ngerjain quiz lelet trs",4,Positif
Aplikasi sudah bagus. Namun saat saya menambahkan foto profil di akun saya gagal untuk di input terus. Mohon diperbaiki. Makasih,4,Positif
Saat saya mau masuk terjadi kesalahan server Mulu,2,Negatif
"Kak ko di ktm edlink nya belum ada fotonya ya, padahal di siakad saya sudah masukan foto.",4,Positif
Terimakasih kk aplikasi nya sangat membantu dalam proses perkuliahan,5,Positif
"bagus, saran saya kak minta tambahan widget biar jadwal kuliah mudah dilihat di beranda.",5,Positif
Sulit akses dan tidak tersedia data yang dituju. Banyak menyita waktu dan tidak aplikatif.,1,Negatif
Bisa membaca berita updatenya,5,Positif
"Terjadi kesalahan pada server pada saat login menggunakan siakad, padahal akunnya sudah benar, tolong di perbaiki.",2,Negatif
mau login aja susah,1,Negatif
"Maaf ini kenapa aplikasinya tidak bisa masuk saya sudah berapa kali verifikasi dan tidak bisa melihat jadwal kuliah saya, saat saya keluar dari aplikasi disuruh verifikasi lagi tolong di respon, saya tidak bisa menggunakan aplikasinya entah hp saya ada sedikit bug pasti ada kendala di aplikasinya mohon di bantu",1,Negatif
Durasi ngirim kodenya lama banget buat daftar akunnya.,2,Negatif
Kenapa login masuk dengan akun siakad tidak bisa muncul terjadi kesalah pada server,1,Negatif
Kode registrasi nya lambat nyampai di email gimana mau daftar,1,Negatif
"aplikasihnya bikin kesal, karna tidak bisa masuk ke aplikasinya padahal saya sudah pastikan, akun siakadnya benar tu, tapi malas suru verivikasi ulang keamannya dan saya mengikuti arahannya eh malas minta kode melalu email yg di kirim tapi kode itu tdak tau muncul ke emailnya yg saya daftar gimana saya verifikasinya, saya kesal bnget si....................................",1,Negatif
"tidak bisa login, kesalahan server mulu",1,Negatif
"Gak bisa masuk padahal dah sesuai sama akun google gua, kodenya gak pernah kekirim. Buruk. Sekalinya ngirim kode gak valid, delaynya juga terlalu lama",1,Negatif
"saya beri saran ditambahkan widget, agar semakin mudah saat melihat jadwal tidak perlu buka apk lagi",5,Positif
Nice sangat bermanfaat,5,Positif
Beberapa Akun tak bisa diganti Photo profilnya kenapa ya min,4,Positif
"Tidak bisa masuk, padahal sudah sesuai akunnya dengan Siakad, disuruh ganti email malah tidak bisa.",1,Negatif
Setiap mau presensi pasti akhirnya barcode tidak valid untuk semua mata kuliah. Semoga lebih baik lagi kedepannya.,3,
"Kak kenapa ya pas dikasih Quiz sama dosen padahal saya baru buka quiz nya ""waktu telah habis"" Terus katanya pdahal waktunya msih lama tpi baru saya buka waktu telah hbis ktnya dan gabisa dipencet lagiiii jawaban nya semua itu gimana solusinya saya takut ga dapet nilai🙏",3,
"Apk nya Masi belum sempurna, Masi banyak bug system dan sebagainya, untuk pengisian KRS aja Masi banyak kendala, mohon di perbaiki lagi untuk kedepannya..",2,Negatif
Terimakasih banyak kak dan kaknya respon dengan cepat apa kendala yang saya hadapi serta kaknya baik...,5,Positif
Setiap ingin daftar siakad selalu kesalahan server tolong perbaiki lagi aplikasi,1,Negatif
